CamaraID,Instalada,Tipo
Cámara 1,1,Fija
Cámara 2,0,Fija
Cámara 3,0,Fija
Cámara 4,1,Fija
Cámara 5,0,Fija
Cámara 6,0,Fija
Cámara 7,0,Fija
Cámara 8,1,Fija
Cámara 9,0,Fija
Cámara 10,1,Fija
Cámara 11,0,Fija
Cámara 12,0,Fija
Cámara 13,1,Fija
